"","Year","Precipitation"
"1",1950,4.12725776477054
"2",1951,3.25073544604204
"3",1952,1.07154933604098
"4",1953,1.59250362251521
"5",1954,2.59011678710901
"6",1955,2.19460831860314
"7",1956,0.865537767723202
"8",1957,2.71508494160394
"9",1958,3.63875078472842
"10",1959,0.437489205765637
"11",1960,2.44475197527892
"12",1961,2.85323567647418
"13",1962,1.90375893800403
"14",1963,0.930736331883092
"15",1964,0.960144830697963
"16",1965,0.549363625948074
"17",1966,3.93806659192781
"18",1967,3.41126225212053
"19",1968,1.52403826491027
"20",1969,2.14680588210032
"21",1970,3.24367008397199
"22",1971,1.61173947194079
"23",1972,2.49205546656323
"24",1973,1.86097057445746
"25",1974,3.44753494500618
"26",1975,1.09562790722834
"27",1976,1.72599618752097
"28",1977,4.25387793655811
"29",1978,2.67016705527742
"30",1979,1.75307168465267
"31",1980,2.88443313053098
"32",1981,2.00213591693366
"33",1982,2.06658247124715
"34",1983,1.356841051401
"35",1984,2.11976754009357
"36",1985,1.09154394494763
"37",1986,0.428239078635794
"38",1987,1.98726177119873
"39",1988,2.62084822309518
"40",1989,3.95611062000267
"41",1990,6.1836411748029
"42",1991,2.09273353073161
"43",1992,2.32127359272773
"44",1993,0.718210864635349
"45",1994,2.72255428546924
"46",1995,4.36020143839131
"47",1996,2.92272651218632
"48",1997,5.12799133172143
"49",1998,1.95292637398236
"50",1999,2.49697345672687
"51",2000,4.02321656522259
"52",2001,3.13585904615789
"53",2002,5.53924288979038
"54",2003,1.39434154562495
"55",2004,1.90494815179509
"56",2005,1.9195174645909
"57",2006,1.85577633671759
"58",2007,3.60145375767309
"59",2008,2.2150945260746
"60",2009,1.73046396444566
"61",2010,2.21306353089205
"62",2011,3.38992426885078
"63",2012,1.3940825829209
"64",2013,1.73443926296584
"65",2014,5.42245946707609
"66",2015,2.37410915460537
"67",2016,3.24500002157176
"68",2017,2.77368043918306
"69",2018,1.49827506478551
"70",2019,1.78169717365031
"71",2020,4.91976885928787
