leadtime,number,time,tprate
2,0,1982-02-01,1.6198392852030428
2,0,1983-02-01,2.9298002583392346
2,0,1984-02-01,3.272815871427143
2,0,1985-02-01,2.0000304938484295
2,0,1986-02-01,3.3130155179406784
2,0,1987-02-01,5.2470354206124625
2,0,1988-02-01,3.0588519708421535
2,0,1989-02-01,3.0234379194789844
2,0,1990-02-01,3.2591093195372802
2,0,1991-02-01,2.8757701798975486
2,0,1992-02-01,3.3758172601544807
2,0,1993-02-01,3.3368972061379623
2,0,1994-02-01,3.268418303558206
2,0,1995-02-01,3.08888844690754
2,0,1996-02-01,1.9911869545641707
2,0,1997-02-01,3.0979502043087077
2,0,1998-02-01,1.985250233144122
2,0,1999-02-01,3.7292280580949404
2,0,2000-02-01,2.506803967446565
2,0,2001-02-01,2.1853536408230574
2,0,2002-02-01,2.3350461013319688
2,0,2003-02-01,3.5448489950075834
2,0,2004-02-01,3.6081982201206584
2,0,2005-02-01,1.1804336765824863
2,0,2006-02-01,0.7012037551795406
2,0,2007-02-01,1.8188646389813086
2,0,2008-02-01,3.066940689374612
2,0,2009-02-01,1.730983040512285
2,0,2010-02-01,1.2467025115289574
2,0,2011-02-01,3.4582807647821543
2,0,2012-02-01,1.9607959834600928
2,0,2013-02-01,2.3402786357244585
2,0,2014-02-01,2.9893940035082043
2,0,2015-02-01,2.7733654433370716
2,0,2016-02-01,2.126018396080596
2,1,1982-02-01,1.802705615769589
2,1,1983-02-01,1.769554588654309
2,1,1984-02-01,3.645909368509139
2,1,1985-02-01,2.214196070859379
2,1,1986-02-01,2.2165958059811626
2,1,1987-02-01,2.2566301654491325
2,1,1988-02-01,2.264846158050886
2,1,1989-02-01,3.1887324202802745
2,1,1990-02-01,1.554325133321787
2,1,1991-02-01,2.9841240648294316
2,1,1992-02-01,2.142362984600286
2,1,1993-02-01,2.7491771292790292
2,1,1994-02-01,3.6434725969263924
2,1,1995-02-01,3.165451556011567
2,1,1996-02-01,3.65904614554872
2,1,1997-02-01,1.3455869711138069
2,1,1998-02-01,3.2802481003289006
2,1,1999-02-01,2.859199139668149
